accommod,unit,hotelsize,geo\time	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 
BEDPL,PC,TOTAL,PT	51.05 	51.36 	51.36 	48.52 	44.1 	42.4 	39.8 	39.5 
BEDPL,PC,TOTAL,RO	39.72 	38.02 	36.5 	36.03 	33.79 	30.7 	29.5 	30.1 
BEDPL,PC,TOTAL,RS	: 	: 	: 	31.2 	28.6 	26.3 	27.8 	26.8 
BEDPL,PC,TOTAL,SE	45 	46 	45.96 	45.68 	43.24 	39.8 	38.3 	37.8 
BEDPL,PC,TOTAL,SI	: 	: 	50.1 	47 	44.7 	42.8 	42.3 	42.6 
BEDPL,PC,TOTAL,SK	36.16 	34.21 	34.18 	32.91 	29.5 	27.2 	27.8 	26.8 
BEDPL,PC,TOTAL,TR	: 	: 	: 	41.49 	51.18 	51.83 	52.6 	: 
BEDPL,PC,TOTAL,UK	: 	: 	: 	51.6 	50.8 	: 	50 	48.1 
BEDRM,PC,100-249,BG	49.5 	49.9 	48.9 	47.9 	41.6 	41.5 	43.2 	39.9 
BEDRM,PC,100-249,CY	75.2 	77.8 	82.2 	77.4 	69.6 	69.5 	: 	: 
BEDRM,PC,100-249,CZ	62.2 	61.7 	62.3 	59.8 	55.8 	60.1 	54.2 	54.2 
BEDRM,PC,100-249,DE	66.76 	66.57 	66.12 	66.08 	65.05 	64.1 	62.8 	61.9 
BEDRM,PC,100-249,EA	70.02 	: 	: 	: 	: 	: 	: 	: 
BEDRM,PC,100-249,EL	: 	61.9 	61 	58.1 	56.7 	56.3 	54.2 	53.9 
BEDRM,PC,100-249,ES	74.56 	74.32 	74.79 	73.73 	69.74 	67.1 	65.2 	64.5 
BEDRM,PC,100-249,EU27_2007	68.97 	: 	: 	: 	: 	: 	: 	: 
BEDRM,PC,100-249,EU27_2020	68.78 	: 	: 	: 	: 	: 	: 	: 
BEDRM,PC,100-249,EU28	68.78 	: 	: 	: 	: 	: 	: 	: 
BEDRM,PC,100-249,HR	64.4 	64.8 	64.9 	64.1 	61.9 	61.3 	60.1 	: 
BEDRM,PC,100-249,HU	67.8 	67.3 	65.9 	62.6 	61.1 	58.2 	: 	: 
BEDRM,PC,100-249,IS	: 	: 	: 	: 	: 	52.2 	64 	51 
BEDRM,PC,100-249,LT	63.4 	61.8 	63.8 	59.7 	55.5 	56.2 	55.8 	51.7 
BEDRM,PC,100-249,LV	58.6 	62.3 	55.93 	54.5 	52.8 	: c	48.2 	44.6 
BEDRM,PC,100-249,MT	76.3 	79 	78.2 	75 	77.3 	76.9 	74.6 	61.5 
BEDRM,PC,100-249,NO	: 	: 	: 	59.9 	58.9 	58.5 	57.5 	58 
BEDRM,PC,100-249,PL	67.8 	65.2 	67.2 	67.9 	63.3 	56.4 	57.5 	53.8 
BEDRM,PC,100-249,RO	: 	: 	: 	: 	: 	35.7 	36 	31.2 
BEDRM,PC,100-249,SE	63 	63 	62.36 	62.07 	59.36 	55.8 	55.1 	55.2 
BEDRM,PC,100-249,UK	: 	: 	: 	77.8 	78.3 	: 	75.9 	: 
BEDRM,PC,25-99,BG	35.9 	33.7 	33.8 	32.1 	28.7 	29.4 	28.6 	27.9 
BEDRM,PC,25-99,CY	62.7 	63.5 	65.7 	61 	53.2 	53.8 	: 	: 
BEDRM,PC,25-99,CZ	53 	52.3 	51.5 	47.9 	46 	47.4 	43.5 	41 
BEDRM,PC,25-99,DE	58.26 	58 	57.5 	57.35 	55.45 	54.1 	53.1 	52.5 
BEDRM,PC,25-99,EA	60 	: 	: 	: 	: 	: 	: 	: 
BEDRM,PC,25-99,EL	: 	46 	45.5 	42.8 	42.3 	41.9 	39.3 	39.3 
BEDRM,PC,25-99,ES	62.42 	61.28 	61.27 	58.67 	54.69 	51.3 	48.9 	47.8 
BEDRM,PC,25-99,EU27_2007	58.78 	: 	: 	: 	: 	: 	: 	: 
BEDRM,PC,25-99,EU27_2020	58.61 	: 	: 	: 	: 	: 	: 	: 
BEDRM,PC,25-99,EU28	58.61 	: 	: 	: 	: 	: 	: 	: 
BEDRM,PC,25-99,HR	54.4 	52.8 	52.1 	50.6 	46.8 	45 	44 	: 
